publisher,video_title,link,date_posted,total_view,dislikes,likes,timestamp
Kangai Mwiti,Smoky Roses with Urban Decay's Naked 3 Palette! | Bellesa Africa,https://www.youtube.com/watch?v=Eat1XdgftMA,08/04/2014,13100,6,730,1482260494
Kangai Mwiti,"January, February and March 2014 Favorites",https://www.youtube.com/watch?v=N0rYRFyX1dw,30/03/2014,7183,2,422,1482260496
Kangai Mwiti,"Eyebrows, Foundation and Countouring- Nairobi-blue inspired tutorial | Bellesa Africa ",https://www.youtube.com/watch?v=k1MVR8eZnDQ,14/03/2014,14451,29,618,1482260497
Kangai Mwiti,Lupita-inspired Nairobi Blue | Bellesa Africa,https://www.youtube.com/watch?v=0caBpwzrKT0,07/03/2014,7424,10,436,1482260498
Kangai Mwiti,Dramatic Blue Winged Liner | Bellesa Africa,https://www.youtube.com/watch?v=tF7fEt6d-lQ,01/03/2014,8124,5,465,1482260500
Kangai Mwiti,My Current Red Lip Routine with MAC's Ruby Woo and Revlon's Black Cherry| Bellesa Africa,https://www.youtube.com/watch?v=wTCBAy48Ydo&t=4s,22/02/2014,23313,34,946,1482260501
Kangai Mwiti,Sigma's Born to Be Collection | Bellesa Africa,https://www.youtube.com/watch?v=sp1Rr_7dVTc,16/02/2014,7255,4,308,1482260503
Kangai Mwiti,Spring Green Smoky Eyes | Bellesa Africa,https://www.youtube.com/watch?v=LP0lU9YJC5o,19/01/2014,12964,8,586,1482260504
Kangai Mwiti,"Silver, Gold and Pink featuring Urban Decay's Vice2 Palette | Bellesa Africa",https://www.youtube.com/watch?v=I5leEjJFNcg,12/01/2014,12873,3,741,1482260506
Kangai Mwiti,2013 Makeup Favourites | Bellesa Africa,https://www.youtube.com/watch?v=YIqiDRL1FlA,31/12/2013,10571,5,545,1482260507
Kangai Mwiti,"New Year's Smoky Eyes, Two Ways | Bellesa Africa",https://www.youtube.com/watch?v=IYZI-HHrVNc,28/12/2013,16223,7,875,1482260508
Kangai Mwiti,Get that Christmas Glow! | Bellesa Africa,https://www.youtube.com/watch?v=qA8UXb8du58,10/12/2013,8159,7,353,1482260509
Kangai Mwiti,Foundation: Brilliant Sunset | Bellesa Africa,https://www.youtube.com/watch?v=4MBSVdQtXxE,06/12/2013,5790,4,181,1482260514
Kangai Mwiti,Brilliant Sunset | Bellesa Africa,https://www.youtube.com/watch?v=9cjY2vATIpY,01/12/2013,5743,6,264,1482260515
Kangai Mwiti,"Nude Eye, Dark Lip | Bellesa Africa",https://www.youtube.com/watch?v=BDuGatnZRC0,26/11/2013,8317,5,636,1482260516
Kangai Mwiti,Foundation: Playing with Colour (1) Bellesa Africa,https://www.youtube.com/watch?v=PWUXnDaPN8I,23/11/2013,3659,5,148,1482260517
Kangai Mwiti,Playing with Colour (1) | Bellesa Africa,https://www.youtube.com/watch?v=YxbC8Ybj7Ik,19/11/2013,3013,3,219,1482260518
Kangai Mwiti,Foundation and Eyebrows- Nude Makeup | Bellesa Africa,https://www.youtube.com/watch?v=HjrPkwivYyw,15/11/2013,36852,9,662,1482260519
Kangai Mwiti,Nude Makeup with Sharon from This Is Ess | Bellesa Africa,https://www.youtube.com/watch?v=5hMinZFnKlA,12/11/2013,35972,8,579,1482260522
Kangai Mwiti,"Katya's Blue: Eyebrows, Foundation and Highlighting | Bellesa Africa",https://www.youtube.com/watch?v=tVE4M7h4aU8,03/11/2013,8284,2,460,1482260524
Kangai Mwiti,Katya's Blue | Bellesa Africa,https://www.youtube.com/watch?v=wVYgyLHlGv8,30/10/2013,8075,2,536,1482260525
Kangai Mwiti,"Style: Afetek Dress, and Bone, Brass and Horn Accessories | Bellesa Africa",https://www.youtube.com/watch?v=Ktbpi3LCo3Y,27/10/2013,3446,0,207,1482260526
Kangai Mwiti,"Foundation, Eyebrows + Contouring- Smoky Turquoise",https://www.youtube.com/watch?v=UQIB8iZDNoQ,22/10/2013,6868,1,349,1482260527
Kangai Mwiti,Smoky Turquoise (Re-Post),https://www.youtube.com/watch?v=ERg_NCzxi7M,18/10/2013,3467,0,199,1482260529
Kangai Mwiti,"Foundation, Contouring, Highlighting and Eyebrows-Smoky Purple",https://www.youtube.com/watch?v=OoSaoG15YyM,10/09/2013,9641,7,409,1482260530
Kangai Mwiti,July and August Favorites! (And a surprise ending_),https://www.youtube.com/watch?v=uGNgppkv-aI,03/09/2013,4407,4,179,1482260531
Kangai Mwiti,Smoky Purple!,https://www.youtube.com/watch?v=Nlu1fSVEltU,24/08/2013,7627,3,509,1482260533
Kangai Mwiti,Review: SugarBaby De Luxe Fragrance Trio,https://www.youtube.com/watch?v=zJ7hukU3n2Q,06/08/2013,3317,1,90,1482260534
Kangai Mwiti,Foundation Routine- Bright Pink + Purple,https://www.youtube.com/watch?v=v65IzGO6pJg,06/08/2013,5080,4,211,1482260536
Kangai Mwiti,Pink and Purple,https://www.youtube.com/watch?v=W1mDYSIXXxo,28/07/2013,6006,7,447,1482260537
Kangai Mwiti,Jungle Smoke,https://www.youtube.com/watch?v=Ul7DRRydkJI,12/06/2013,11942,0,556,1482260538
Kangai Mwiti,"Smoky Burgundies for Sheila Amolo's ""Glamourai"" collection, for ChicoLeco",https://www.youtube.com/watch?v=tz2iEYF5uwM,26/05/2013,8589,1,380,1482260548
Kangai Mwiti,"Makeup for Sheila's ""Glamourai"" and Ruth's Enfant De Boheme"", for ChicoLeco",https://www.youtube.com/watch?v=JC9-Xn1qWgc,12/05/2013,7652,5,413,1482260559
Kangai Mwiti,"Makeup for ""Urban Hunter"" by Nick Ondu, for ChicoLeco",https://www.youtube.com/watch?v=4SfyT4Wxg6A,04/05/2013,4799,6,134,1482260570
Kangai Mwiti,"Foundation and Eyebrows for the ""Get the Glow!"" video.",https://www.youtube.com/watch?v=5IaTwqY3YIU,22/04/2013,21830,3,790,1482260574
Kangai Mwiti,Get the glow,https://www.youtube.com/watch?v=y_COtKLr_wM,16/04/2013,19936,9,742,1482260575
Kangai Mwiti,Essentials- Eyeshadow Blending Brushes,https://www.youtube.com/watch?v=IdQxW0U0yYg,15/04/2013,39757,16,365,1482260576
Kangai Mwiti,How-to- Shaping Eyebrows,https://www.youtube.com/watch?v=MM-Cs_dZ-Qw,28/03/2013,30403,7,756,1482260577
Kangai Mwiti,Sexy Red Lip,https://www.youtube.com/watch?v=t1ptp3ZFBVQ,22/03/2013,12682,1,393,1482260579
Kangai Mwiti,How- To- Winged Eye Liner,https://www.youtube.com/watch?v=Fv72h1c5i_0,15/03/2013,15724,3,506,1482260580
Kangai Mwiti,"Silver Eyes, Ruby Lips",https://www.youtube.com/watch?v=-iOHafD0nwQ,12/03/2013,8335,1,392,1482260581
Kangai Mwiti,Brush Review- ELF Studio Kabuki Brush,https://www.youtube.com/watch?v=_-qlA2rGSjs,26/01/2013,53296,11,460,1482260582
Kangai Mwiti,Black Opal's Zanzibar Eyeshadow Palette- Tutorial,https://www.youtube.com/watch?v=JI3xKbdBfx8,11/01/2013,7181,7,231,1482260584
Kangai Mwiti,The Makeup Bag Files (1) _ and a review,https://www.youtube.com/watch?v=2QfCek6OfpM,13/12/2012,3047,1,87,1482260585
Kangai Mwiti,"Contouring, Highlighting and Foundation- Chocolate Skin",https://www.youtube.com/watch?v=FtWQXed_E9k,06/12/2012,7636,3,253,1482260586
Kangai Mwiti,Caribbean Blue- Black Opal's 5-piece Mosaic Eyeshadow Tutorial,https://www.youtube.com/watch?v=ULaWp8Mt1Mo,29/11/2012,6108,0,236,1482260588
Kangai Mwiti,"Contouring, Highlighting and Foundation Routine- Electric Blue Eyes",https://www.youtube.com/watch?v=ByTqdlm_pvI&t=4s,22/11/2012,13889,1,436,1482260589
